region_code, weather_param, year, key, value
UK,Sunshine,1960,April,147.7
UK,Sunshine,1960,May,183.1
UK,Sunshine,1960,June,233.9
UK,Sunshine,1960,July,142.4
UK,Sunshine,1960,August,150.2
UK,Sunshine,1960,September,124.3
UK,Sunshine,1960,October,61.6
UK,Sunshine,1960,November,58.9
UK,Sunshine,1960,December,47.2
UK,Sunshine,1961,Jan,39.4
UK,Sunshine,1961,Feb,60.0
UK,Sunshine,1961,March,117.2
UK,Sunshine,1961,April,100.8
UK,Sunshine,1961,May,193.5
UK,Sunshine,1961,June,184.6
UK,Sunshine,1961,July,139.2
UK,Sunshine,1961,August,154.5
UK,Sunshine,1961,September,116.7
UK,Sunshine,1961,October,98.5
UK,Sunshine,1961,November,58.5
UK,Sunshine,1961,December,46.7
UK,Sunshine,1962,Jan,51.2
UK,Sunshine,1962,Feb,67.9
UK,Sunshine,1962,March,111.0
UK,Sunshine,1962,April,167.3
UK,Sunshine,1962,May,163.3
UK,Sunshine,1962,June,207.5
UK,Sunshine,1962,July,132.0
UK,Sunshine,1962,August,145.0
UK,Sunshine,1962,September,97.0
UK,Sunshine,1962,October,93.4
UK,Sunshine,1962,November,38.5
UK,Sunshine,1962,December,51.3
UK,Sunshine,1963,Jan,57.3
UK,Sunshine,1963,Feb,79.5
UK,Sunshine,1963,March,100.7
UK,Sunshine,1963,April,120.9
UK,Sunshine,1963,May,180.6
UK,Sunshine,1963,June,179.2
UK,Sunshine,1963,July,168.7
UK,Sunshine,1963,August,112.2
UK,Sunshine,1963,September,126.7
UK,Sunshine,1963,October,75.5
UK,Sunshine,1963,November,47.1
UK,Sunshine,1963,December,39.6
UK,Sunshine,1964,Jan,38.4
UK,Sunshine,1964,Feb,60.0
UK,Sunshine,1964,March,64.0
UK,Sunshine,1964,April,115.3
UK,Sunshine,1964,May,173.9
UK,Sunshine,1964,June,145.8
UK,Sunshine,1964,July,159.9
UK,Sunshine,1964,August,163.3
UK,Sunshine,1964,September,150.4
UK,Sunshine,1964,October,94.1
UK,Sunshine,1964,November,52.6
UK,Sunshine,1964,December,39.2
UK,Sunshine,1965,Jan,57.5
UK,Sunshine,1965,Feb,41.3
UK,Sunshine,1965,March,116.6
UK,Sunshine,1965,April,147.0
UK,Sunshine,1965,May,147.1
UK,Sunshine,1965,June,157.1
UK,Sunshine,1965,July,119.9
UK,Sunshine,1965,August,157.0
UK,Sunshine,1965,September,91.4
UK,Sunshine,1965,October,98.0
UK,Sunshine,1965,November,66.6
UK,Sunshine,1965,December,44.3
UK,Sunshine,1966,Jan,28.5
UK,Sunshine,1966,Feb,38.5
UK,Sunshine,1966,March,107.3
UK,Sunshine,1966,April,101.3
UK,Sunshine,1966,May,202.6
UK,Sunshine,1966,June,140.3
UK,Sunshine,1966,July,160.5
UK,Sunshine,1966,August,157.4
UK,Sunshine,1966,September,118.5
UK,Sunshine,1966,October,79.1
UK,Sunshine,1966,November,50.1
UK,Sunshine,1966,December,33.9
UK,Sunshine,1967,Jan,48.6
UK,Sunshine,1967,Feb,70.3
UK,Sunshine,1967,March,130.2
UK,Sunshine,1967,April,127.0
UK,Sunshine,1967,May,150.3
UK,Sunshine,1967,June,205.6
UK,Sunshine,1967,July,165.2
UK,Sunshine,1967,August,142.9
UK,Sunshine,1967,September,106.2
UK,Sunshine,1967,October,88.4
UK,Sunshine,1967,November,58.1
UK,Sunshine,1967,December,47.0
UK,Sunshine,1968,Jan,33.4
UK,Sunshine,1968,Feb,73.5
UK,Sunshine,1968,March,104.3
UK,Sunshine,1968,April,166.2
UK,Sunshine,1968,May,147.4
UK,Sunshine,1968,June,187.8
UK,Sunshine,1968,July,135.9
UK,Sunshine,1968,August,150.8
UK,Sunshine,1968,September,106.4
UK,Sunshine,1968,October,56.6
UK,Sunshine,1968,November,42.7
UK,Sunshine,1968,December,29.9
UK,Sunshine,1969,Jan,29.9
UK,Sunshine,1969,Feb,64.1
UK,Sunshine,1969,March,80.0
UK,Sunshine,1969,April,175.0
UK,Sunshine,1969,May,133.2
UK,Sunshine,1969,June,228.9
UK,Sunshine,1969,July,186.2
UK,Sunshine,1969,August,145.3
UK,Sunshine,1969,September,97.8
UK,Sunshine,1969,October,88.4
UK,Sunshine,1969,November,62.3
UK,Sunshine,1969,December,28.4
UK,Sunshine,1970,Jan,28.4
UK,Sunshine,1970,Feb,93.3
UK,Sunshine,1970,March,110.7
UK,Sunshine,1970,April,132.3
UK,Sunshine,1970,May,163.7
UK,Sunshine,1970,June,229.7
UK,Sunshine,1970,July,136.0
UK,Sunshine,1970,August,154.3
UK,Sunshine,1970,September,115.0
UK,Sunshine,1970,October,84.0
UK,Sunshine,1970,November,50.4
UK,Sunshine,1970,December,40.9
UK,Sunshine,1971,Jan,32.3
UK,Sunshine,1971,Feb,60.3
UK,Sunshine,1971,March,86.7
UK,Sunshine,1971,April,121.6
UK,Sunshine,1971,May,209.1
UK,Sunshine,1971,June,141.6
UK,Sunshine,1971,July,210.0
UK,Sunshine,1971,August,128.4
UK,Sunshine,1971,September,150.4
UK,Sunshine,1971,October,113.3
UK,Sunshine,1971,November,66.3
UK,Sunshine,1971,December,26.8
UK,Sunshine,1972,Jan,35.4
UK,Sunshine,1972,Feb,44.0
UK,Sunshine,1972,March,120.7
UK,Sunshine,1972,April,133.5
UK,Sunshine,1972,May,143.6
UK,Sunshine,1972,June,147.3
UK,Sunshine,1972,July,168.6
UK,Sunshine,1972,August,161.0
UK,Sunshine,1972,September,120.5
UK,Sunshine,1972,October,91.2
UK,Sunshine,1972,November,59.7
UK,Sunshine,1972,December,35.1
UK,Sunshine,1973,Jan,30.7
UK,Sunshine,1973,Feb,73.8
